City/State;;;
;;Alegrete/RS;Feito
Aracaju/SE;;Aracaju/SE;Ok
Bagé/RS;;Bagé/RS;Ok
Balsas/MA;;Balsas/MA;Ok
Barbalha/CE;;Barbalha/CE;Ok
Belém/PA;;Belém/PA;Ok
Bento Gonçalves/RS;;Bento Gonçalves/RS;Ok
Boa Vista/RR;;Boa Vista/RR;Ok
Brasília/DF;;Brasília/DF;Ok
Campina Grande/PB;;Campina Grande/PB;Ok
Campinas/SP;;Campinas/SP;Ok
Campo Grande/MS;;Campo Grande/MS;Ok
Colombo/PR;;Colombo/PR;Ok
Concórdia/SC;;Concórdia/SC;Ok
;;Coronel Pacheco/MG;Feito
Corumbá/MS;;Corumbá/MS;Ok
Cruz das Almas/BA;;Cruz das Almas/BA;Ok
Cruzeiro do Sul/AC;;Cruzeiro do Sul/AC;Ok
Dourados/MS;;Dourados/MS;Ok
Fortaleza/CE;;Fortaleza/CE;Ok
;;Francisco Beltrão/PR;Feito
Goiânia/GO;;Goiânia/GO;Ok
;;Iranduba/AM;Feito
Irecê/BA;;Irecê/BA;Ok
;;Itacoatiara/AM;Feito
Jaguariúna/SP;;Jaguariúna/SP;Ok
Juiz de Fora/MG;;Juiz de Fora/MG;Ok
Londrina/PR;;Londrina/PR;Ok
Luis Eduardo Magalhães/BA;;Luis Eduardo Magalhães/BA;Ok
;;Luís Eduardo Magalhães/BA;Ajustar
;;Macapá/AP;Feito
Maceió/AL;;Maceió/AL;Ok
Manaus/AM;;Manaus/AM;Ok
Maués/AM;;Maués/AM;Ok
;;Nossa Senhora da Glória/SE;Feito
Nova Porteirinha/MG;;Nova Porteirinha/MG;Ok
Ouro Preto d´Oeste/RO;;Ouro Preto do Oeste/RO;Ajustar
Palmas/TO;;Palmas/TO;Ok
Parintins/AM;;Parintins/AM;Ok
Parnaíba/PI;;Parnaíba/PI;Ok
Passo Fundo/RS;;Passo Fundo/RS;Ok
Pelotas/RS;;Pelotas/RS;Ok
;;Petrolina/PE;Feito
Planaltina/DF;;Planaltina/DF;Ok
Ponta Grossa/PR;;Ponta Grossa/PR;Ok
Porto Velho/RO;;Porto Velho/RO;Ok
Recife/PE;;Recife/PE;Ok
Rio Branco/AC;;Rio Branco/AC;Ok
Rio Largo/AL;;Rio Largo/AL;Ok
Rio Preto da Eva/AM;;Rio Preto da Eva/AM;Ok
Rio de Janeiro/RJ;;Rio de Janeiro/RJ;Ok
Santo Antônio de Goiás/GO;;Santo Antônio de Goiás/GO;Ok
Seropédica/RJ;;Seropédica/RJ;Ok
Sete Lagoas/MG;;Sete Lagoas/MG;Ok
Sinop/MT;;Sinop/MT;Ok
;;Sobral/CE;Feito
São Carlos/SP;;São Carlos/SP;Ok
São Luís/MA;;São Luís/MA;Ok
Teresina/PI;;Teresina/PI;Ok
;;Uberaba/MG;Feito
Vilhena/RO;;Vilhena/RO;Ok
